X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
281,281,893,1,0,0,0,0,0,0,26,0,1,0,1,0,0,379,0,0,1,1,0
287,287,548,1,0,0,0,0,0,0,40.967773,1,0,1,1,0,0,1496,0,1,1,1,0
288,288,9485,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,2463,0,0,1,1,0
299,299,13465,1,0,0,0,0,0,0,40.967773,1,1,0,0,0,0,1380,0,1,1,1,0
300,300,15451,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1894,0,1,1,0,0
301,301,4873,1,0,0,0,0,0,0,70,0,0,0,0,0,0,504,0,0,1,0,0
303,303,9134,1,0,0,0,0,0,0,51,0,0,0,1,0,0,1153,0,1,1,1,0
306,306,8085,1,0,0,0,0,0,0,55,0,0,0,0,0,0,714,0,0,1,1,0
312,312,12504,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1120,0,1,1,0,0
314,314,655,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,901,0,0,0,0,0
316,316,8665,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1792,0,1,1,0,0
318,318,8876,1,0,0,0,0,0,0,40.967773,1,0,1,1,0,0,1695,0,1,1,0,0
320,320,12072,1,0,0,0,0,0,0,40.967773,1,0,0,0,1,0,1491,0,1,1,0,0
322,322,15240,1,0,0,0,0,0,0,24,0,0,0,1,0,0,-80,0,0,1,0,0
323,323,3690,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1238,0,1,1,0,0
326,326,10941,1,0,0,0,0,0,0,28,0,0,0,1,0,0,2461,0,0,1,1,0
334,334,17321,1,0,0,0,0,0,0,26,0,1,0,1,0,0,2356,0,0,1,0,0
336,336,14945,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1628,0,1,1,0,0
338,338,7181,1,0,0,0,0,0,0,40.967773,1,0,1,1,0,0,1453,0,1,1,0,0
340,340,7925,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1436,0,1,1,1,0
